Feature,Score
cat__Publisher_LucasArts,0.0010812676834329737
cat__Developer_Sting,0.0010759342877851852
cat__Name_Showtime Championship Boxing,0.001072806219693967
cat__Developer_Guildford Studio,0.001072806219693967
cat__Developer_Liquid Entertainment,0.001072806219693967
cat__Name_Bodycount,0.001072806219693967
cat__Name_Dance! It's Your Stage,0.001072806219693967
"cat__Developer_Harmonix Music Systems, Demiurge Studios",0.001072806219693967
cat__Name_TNA iMPACT: Cross the Line,0.001072806219693967
"cat__Developer_Orbital Media, Inc.",0.001072806219693967
cat__Name_Gretzky NHL 06,0.0010528688231191685
cat__Publisher_Nippon Ichi Software,0.0010247059539996162
cat__Publisher_Ignition Entertainment,0.001015194890720439
cat__Publisher_Majesco Entertainment,0.0010136357474473945
cat__Developer_Capcom,0.0010060759781023165
cat__Developer_High Moon Studios,0.0009995937033659974
cat__User_Score_6,0.0009960309407660572
cat__Developer_Artificial Mind and Movement,0.0009939747411233935
cat__Platform_SNES,0.0009936264497545366
"cat__Developer_Atari, Atari SA",0.0009822425685938052
cat__User_Score_8,0.0009681800858887257
cat__Publisher_DreamCatcher Interactive,0.0009570601460838768
cat__Publisher_Sega,0.0009568927057848065
cat__Developer_HAL Labs,0.0009373947024799989
cat__Publisher_Zoo Digital Publishing,0.000921223511119118
cat__Publisher_PQube,0.0009154048747789245
cat__Publisher_Human Entertainment,0.0009112981456783631
cat__Developer_Level 5,0.0009079456703966482
cat__Developer_CyberConnect2,0.0009057119071413933
cat__User_Score_9,0.0008985829895217234
cat__Developer_3DO,0.000897346480797756
cat__Publisher_Atlus,0.0008950429796995563
cat__Publisher_Telltale Games,0.0008899456262986272
cat__Publisher_Bethesda Softworks,0.0008706827219908675
cat__User_Score_6.6,0.0008654578812045122
cat__User_Score_6.3,0.0008629479742398027
cat__Publisher_7G//AMES,0.0008571044573806308
cat__Name_Iron Man,0.0008555327921314637
cat__Developer_EA Redwood Shores,0.000848304093950647
cat__Developer_SCEA San Diego Studios,0.0008467173691534269
cat__Publisher_SNK Playmore,0.0008442194185761531
cat__Publisher_Irem Software Engineering,0.000844030587991762
cat__Publisher_Jaleco,0.0008403996374956035
cat__Developer_Sega,0.000839787364243505
cat__Developer_Toys for Bob,0.0008375702416848485
cat__Publisher_Acquire,0.0008353578095802172
cat__Developer_EA Games,0.0008341707772233642
cat__User_Score_8.3,0.0008136944606325081
cat__Developer_Intelligent Systems,0.000807899829624481
cat__Publisher_Atari,0.0008024157063326598
cat__Publisher_989 Studios,0.0007920874086380092
cat__Name_NBA Jam,0.0007713005652831839
cat__Publisher_Storm City Games,0.0007669632051765518
cat__Publisher_Take-Two Interactive,0.0007649045070856619
cat__Developer_Visceral Games,0.0007602524526374443
cat__Name_The Simpsons Game,0.0007602177517983533
cat__Developer_Eurocom Entertainment Software,0.0007561718622614011
cat__User_Score_6.8,0.0007530286657154717
cat__Publisher_Black Bean Games,0.0007469173111500638
cat__Publisher_Deep Silver,0.0007438643350781149
cat__Developer_BioWare,0.000742556052494292
cat__Developer_Cyanide,0.0007376257501903183
cat__Developer_Sonic Team,0.0007370558848487363
cat__Name_Red Dead Redemption,0.0007359265426922779
"cat__Developer_Torus Games, Little Orbit",0.0007325147251067143
cat__Publisher_O-Games,0.0007224969653882862
cat__Developer_Rockstar Toronto,0.0007208452402887033
cat__Publisher_Midway Games,0.0007083982177645831
cat__Publisher_Square Enix,0.0007077621424121938
cat__Developer_HB Studios Multimedia,0.0007063346390447922
cat__Developer_TOSE,0.0006968816933651256
cat__Name_Turbo: Super Stunt Squad,0.0006962183452189352
cat__Publisher_Focus Home Interactive,0.000692668568473942
cat__Name_Happy Feet Two,0.000691192634309723
"cat__Developer_Red Storm Entertainment, Ubisoft Paris",0.0006897522905111586
cat__Name_Adventure Time: Finn & Jake Investigations,0.0006877579738077122
cat__Developer_Dreamcatcher,0.0006824460611843941
cat__Developer_SNK Playmore,0.0006794054201180177
cat__Developer_Crystal Dynamics,0.0006759893986794108
cat__Publisher_Vivendi Games,0.0006726822528299037
cat__Developer_Team Ninja,0.0006726622579257269
cat__Developer_Torus Games,0.0006699141532795494
cat__Publisher_Rocket Company,0.0006688000694902163
cat__Publisher_Enterbrain,0.0006551452136606128
cat__Publisher_Aqua Plus,0.0006522370179963266
cat__Publisher_System 3 Arcade Software,0.0006520992088435706
cat__Publisher_Compile Heart,0.0006496860995603981
cat__Publisher_Falcom Corporation,0.0006374262064162695
