Feature,Importance
cat__Name_Pikmin,1.2777275982787758e-07
cat__Name_Art Academy,1.2707394463285786e-07
cat__Name_NCAA Football 12,1.2455688249576229e-07
cat__Name_Final Fantasy Tactics,1.223423006644884e-07
cat__Name_Nintendo World Cup,1.2147140465842592e-07
cat__Name_The House of the Dead 2 & 3 Return,1.1916227534724725e-07
cat__Name_Guitar Hero: On Tour,1.1592862379758081e-07
cat__Name_Dragon Warrior IV,1.114274130897496e-07
cat__Publisher_Eidos Interactive,1.0717346961592923e-07
cat__Developer_Nd Cube,1.0485501183607668e-07
cat__Name_Chrono Trigger,1.045570180764676e-07
cat__Platform_N64,1.038350489399957e-07
cat__Developer_Square Enix,1.0143865667387871e-07
"cat__Developer_Bungie Software, Bungie",1.0126252099831347e-07
cat__Name_Halo 4,1.0113228654100374e-07
cat__User_Score_8.7,9.786048027290106e-08
cat__User_Score_7.7,9.778805874517186e-08
cat__Name_Sonic the Hedgehog 2,9.56652047351954e-08
cat__Name_FIFA Soccer 08,9.307750035027113e-08
cat__Name_Super Smash Bros. Melee,9.210568932794025e-08
cat__Name_Grand Theft Auto: San Andreas,9.173896209122692e-08
cat__Name_Banjo-Kazooie,8.928273115469419e-08
cat__Name_Halo 3: ODST,8.706781026729939e-08
cat__Developer_Naughty Dog,7.780992583668627e-08
cat__User_Score_6.2,7.504949735719176e-08
cat__User_Score_6,7.310749075735356e-08
"cat__Developer_Square Enix, Think and Feel",7.20527019598285e-08
cat__Name_Brain Age 2: More Training in Minutes a Day,6.989711311616346e-08
cat__Name_The Legend of Zelda: Link's Awakening,6.76056428947054e-08
cat__Name_Professor Layton and the Diabolical Box,6.677734062377972e-08
cat__Name_Uncharted: The Nathan Drake Collection,6.653299615622223e-08
cat__Developer_NuFX,6.644898225584649e-08
cat__Name_Spider-Man,6.570730760958461e-08
cat__Developer_343 Industries,6.493823554096762e-08
cat__Name_Rhythm Heaven,6.482140366107921e-08
cat__Name_Dissidia: Final Fantasy,6.478229026225989e-08
cat__Name_The Simpsons: Hit & Run,6.446085198245282e-08
cat__Name_Need For Speed: High Stakes,6.440052065646442e-08
cat__User_Score_8.8,6.377690924355099e-08
cat__Name_TouchMaster,6.374783262505181e-08
cat__Name_Monster Hunter Tri,6.36021827980305e-08
cat__Name_SoulCalibur IV,6.34193235265718e-08
cat__Name_Tom Clancy's Splinter Cell,6.311094888663164e-08
cat__Name_Frogger's Adventures: Temple of the Frog,6.272748938288616e-08
cat__Name_NASCAR 99,6.248953991796406e-08
cat__Name_Devil May Cry,6.231307996668652e-08
cat__Name_Kingdom Hearts,6.231002837248219e-08
cat__Name_Disney Magical World,6.19176987006844e-08
cat__Name_FIFA 2000,6.160435194229816e-08
cat__Name_Luigi's Mansion: Dark Moon,6.13972730466474e-08
