Feature,Selected,Ranking
cat__Developer_The Workshop,False,531
cat__Name_Ace Combat: Assault Horizon Legacy,False,532
cat__Name_World Stadium 5,False,533
cat__Name_Shin Megami Tensei,False,534
cat__Name_Rapid Reload,False,535
cat__Name_Neo Atlas,False,536
cat__Name_Chibi-Robo! Zip Lash,False,537
cat__Name_WWF in Your House,False,538
cat__Name_NBA ShootOut '97,False,539
cat__Name_Arc the Lad: Twilight of the Spirits,False,540
cat__Name_Cabela's Outdoor Adventures (2006),False,541
cat__Name_Ninja Gaiden 3,False,542
cat__Name_Company of Heroes 2,False,543
cat__Name_Jewel Quest Mysteries: Curse of the Emerald Tear,False,544
cat__Name_Football Manager Handheld 2009,False,545
cat__Name_Carnage Heart,False,546
cat__Name_Risk: Global Domination,False,547
cat__Name_Headhunter,False,548
cat__Name_PlayStation VR Worlds,False,549
cat__Name_You're in the Movies,False,550
"cat__Developer_Tamsoft, D3Publisher",False,551
cat__Name_Ys Seven,False,552
cat__Name_Elebits,False,553
cat__Name_Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,False,554
"cat__Developer_Frogwares, Mistic Software",False,555
cat__Developer_Trilobyte,False,556
cat__Name_Football Manager 2015,False,557
cat__Name_Silent Hunter 5: Battle of the Atlantic,False,558
cat__Name_James Patterson Women's Murder Club: Games of Passion,False,559
cat__Name_Lalaloopsy,False,560
cat__Developer_Metro,False,561
cat__Name_Classic NES Series: Excitebike,False,562
cat__Name_Dino Stalker,False,563
cat__Name_The Settlers 7: Paths to a Kingdom,False,564
cat__Name_Moto Racer 2,False,565
cat__Name_The King of Fighters '99,False,566
cat__Name_Jikkyou Powerful Pro Yakyuu '95,False,567
cat__Name_NCAA Football 98,False,568
cat__Name_Samurai Warriors: State of War,False,569
cat__Name_Shiren the Wanderer,False,570
cat__Name_Command & Conquer: Red Alert Retaliation,False,571
cat__Name_Croc 2,False,572
cat__Name_Destroy All Humans! 2,False,573
cat__Developer_Kamui,False,574
cat__Name_TimeSplitters,False,575
cat__Name_Primal,False,576
cat__Name_Yu-Gi-Oh! Capsule Monster Coliseum,False,577
cat__Name_Fragile Dreams: Farewell Ruins of the Moon,False,578
cat__Name_Metal Gear Solid: The Essential Collection,False,579
cat__Developer_Escape,False,580
cat__Name_Ar tonelico 2: Melody of Metafalica,False,581
cat__Name_Mario Party: Star Rush,False,582
cat__Name_Bust-A-Move Universe,False,583
cat__Name_Littlest Pet Shop: Jungle,False,584
cat__Name_300: March to Glory,False,585
cat__Name_Club Penguin: Elite Penguin Force - Herbert's Revenge,False,586
